Row Type,CTID,CTDL Type,CTDL Type Label,Name,Alternate Name(s),Description,Life Cycle Status Type,Address,Finder ID,Identifier,Last Updated,Organization Type,Sector Type,Published By,Industry Code(s),Subject Webpage,Keywords,Finder Detail Page,Registry URI
Resource,ce-36a526e1-bce2-43e7-9875-521ce7fb9b4e,ceterms:CredentialOrganization,Credential Organization,Texas A&M University Corpus Christi - Training Programs,,"Texas A&M University - Corpus Christi primarily awards baccalaureate or higher degrees, the Workforce Development area offers career and certification training",Active,"6300 Ocean Drive, CE; Corpus Christi; Texas; 78412",3419,,"Feb 8, 2024 2:03 PM",Four-Year College,Public Institution,Tri-Agency Workforce Initiative,,https://www.tamucc.edu/research/research-engagement/wd/lp-certs/index.php,,https://credentialfinder.org/Organization/3419,https://credentialengineregistry.org/resources/ce-36a526e1-bce2-43e7-9875-521ce7fb9b4e
Resource,ce-f526c0f2-aba4-4d67-8770-1edb8ff7f917,ceterms:CredentialOrganization,Credential Organization,M J Murphy Beauty College of Mount Pleasant,,"M J Murphy Beauty College of Mount Pleasant: A private, for-profit, postsecondary institution located in Mount Pleasant,Michigan.",Active,201 W Broadway; Mount Pleasant; Michigan; 48858,11634,IPEDS NCES Data Year: 2023,"Apr 21, 2025 2:17 PM",Postsecondary Educational Institution | Two-Year College,Private For-Profit,,,https://mjmbc.net/,,https://credentialfinder.org/Organization/11634,https://credentialengineregistry.org/resources/ce-f526c0f2-aba4-4d67-8770-1edb8ff7f917
Resource,ce-6452468e-25a8-495d-a8db-0d3f5964e8fa,ceterms:CredentialOrganization,Credential Organization,Texas A&M International University - Office of Continuing Education,,"Texas A&M International University primarily awards baccalaureate or higher degrees, the Office of Continuing Studies provides distance, online non-academic learning and training.",Active,,3420,,"Jul 24, 2023 5:52 PM",Four-Year College,Public Institution,Tri-Agency Workforce Initiative,,https://careertraining.ed2go.com/tamiu/training-programs,,https://credentialfinder.org/Organization/3420,https://credentialengineregistry.org/resources/ce-6452468e-25a8-495d-a8db-0d3f5964e8fa
Resource,ce-f126501f-511f-487e-9f69-1bbc89b719c2,ceterms:CredentialOrganization,Credential Organization,Agrilife Learn,,"As the largest comprehensive agriculture program nationally, Texas A&M AgriLife brings together a college and four state agencies focused on agriculture and life sciences within The Texas A&M University System.

With over 5,000 employees and a presence in every county across the state, Texas A&M AgriLife is uniquely positioned to improve lives, environments and the Texas economy through education, research, extension and service.",Active,578 John Kimbrough Blvd; College Station; Texas; 77843,15134,,"Jun 10, 2025 8:31 AM",Education and Training Provider,Public Institution,,,https://agrilifelearn.tamu.edu/s/,,https://credentialfinder.org/Organization/15134,https://credentialengineregistry.org/resources/ce-f126501f-511f-487e-9f69-1bbc89b719c2
Resource,,ceterms:CredentialOrganization,Credential Organization,"Installation Management Command, G7 Training Division, MG Robert M. Joyce MWR Academy [reference]",,,,,7722,,"Sep 16, 2025 11:17 AM",,,,,https://www.acenet.edu/National-Guide/Pages/Organization.aspx?oid=eb089b28-9016-e811-810f-5065f38bf0e1,,https://credentialfinder.org/Organization/7722,
Resource,ce-12f5bec1-d128-4723-8450-ab7f8c9d5a78,ceterms:CredentialOrganization,Credential Organization,Minnesota State Community and Technical College,,"Minnesota State Community and Technical College (M State) offers 70 career and liberal arts degrees and certificates, including unique programs such as equine science, power sports technology, dialysis technician, cardiovascular technology, and music.",Active,1900 28th Ave. South; Moorhead; Minnesota; 56560,1382,,"Mar 21, 2022 3:01 AM",Education and Training Provider,Public Institution,Minnesota Department of Employment and Economic Development,,http://www.minnesota.edu,,https://credentialfinder.org/Organization/1382,https://credentialengineregistry.org/resources/ce-12f5bec1-d128-4723-8450-ab7f8c9d5a78
Resource,,ceterms:CredentialOrganization,Credential Organization,"Installation Management Command, G7 Training Division MG Robert M. Joyce School for Family and MWR [reference]",,,,,4828,,"Jan 17, 2024 8:00 AM",,,,,https://www.acenet.edu/National-Guide/Pages/Organization.aspx?oid=eb089b28-9016-e811-810f-5065f38bf0e1,,https://credentialfinder.org/Organization/4828,
Resource,ce-f6e68cfb-b347-43ed-8f8c-9e77ec1f969c,ceterms:CredentialOrganization,Credential Organization,Benz School of Floral Design,,"Founded in 1946 and located on the campus of Texas A&M University, the school is recognized by the American Institute of Floral Designers as an Educational Partner, ensuring the school remains in compliance with industry standards for instructional personnel and facilities. The Benz School is the marquee name when it comes to the art of floral design.",Active,MS 2133; College Station; Texas; 77843,1026,,"Feb 9, 2024 4:10 PM",Assessment Body | Certification Body,Private For-Profit,,,https://aggie-horticulture.tamu.edu/benz-school,,https://credentialfinder.org/Organization/1026,https://credentialengineregistry.org/resources/ce-f6e68cfb-b347-43ed-8f8c-9e77ec1f969c
Resource,ce-b904ddec-2e04-419d-80b2-3f4c9d996425,ceterms:CredentialOrganization,Credential Organization,HCC: Education Professions Center of Excellence,,"The Education Professions Center of Excellence (COE) is comprised of education programs designed to meet the state of Texas teaching shortage. Instructors in the COE provide academic programming leading to the successful attainment of skills which prepares students for the Texas standard certification exam in elementary and secondary education, for transfer to partner institutions, or for transition to the workplace. Students are provided with an opportunity to pursue alternative teacher certification, certificates, or associate degree pathways that will lead to a chosen education career.

Through the Education COE dual credit program, we provide the opportunity for high school students, to earn college credit and high school credit simultaneously. The earned credit will allow students to transfer to HCC's Education Center of Excellence to complete their associate degree. Then students can transfer to any of our partner institutions: University of Houston Main, University of Houston-Downtown, University of Houston-Clear Lake, University of Houston-Victoria, Lamar University, Prairie View A&M University, Sam Houston State University, Texas A&M University, Texas Southern University, University of St. Thomas, Houston Baptist University, Saint Thomas University, and Texas Tech University.",Active,300 Holman St.; Houston; Texas; 77004,4954,,"Mar 28, 2024 11:48 AM",Postsecondary Educational Institution | Two-Year College,Public Institution,,,https://www.hccs.edu/centers/education-professions/,,https://credentialfinder.org/Organization/4954,https://credentialengineregistry.org/resources/ce-b904ddec-2e04-419d-80b2-3f4c9d996425
Addendum,ce-b904ddec-2e04-419d-80b2-3f4c9d996425,,,,,,,1990 Airport Blvd.; Houston; Texas; 77051,,,,,,,,,,,
Addendum,ce-b904ddec-2e04-419d-80b2-3f4c9d996425,,,,,,,1900 Pressler St; Houston; Texas; 77030,,,,,,,,,,,
Addendum,ce-b904ddec-2e04-419d-80b2-3f4c9d996425,,,,,,,3100 Main St; Houston; Texas; 77002,,,,,,,,,,,
